subid,date,day_label,lat,lon,time,duration
23,2011-02-14,120,42.7867095,-73.8606319,2011-02-14T22:40:44Z,9.466666666666667
23,2011-02-14,120,42.7866874,-73.8607285,2011-02-14T22:50:12Z,10.666666666666666
23,2011-02-14,120,42.7868125,-73.8608517,2011-02-14T23:00:52Z,20.466666666666665
23,2011-02-14,120,42.787937,-73.8599379,2011-02-14T23:21:20Z,29.416666666666668
23,2011-02-14,120,42.7906381,-73.858967,2011-02-14T23:50:45Z,9.933333333333334
23,2011-02-15,121,42.7906576,-73.8590304,2011-02-15T00:00:41Z,9.716666666666667
23,2011-02-15,121,42.7904113,-73.8589249,2011-02-15T00:10:24Z,9.9
23,2011-02-15,121,42.7903571,-73.8588708,2011-02-15T00:20:18Z,9.95
23,2011-02-15,121,42.7904572,-73.8589362,2011-02-15T00:30:15Z,10.033333333333333
23,2011-02-15,121,42.7904022,-73.8589503,2011-02-15T00:40:17Z,10.583333333333334
23,2011-02-15,121,42.7904931,-73.8588862,2011-02-15T00:50:52Z,9.8
23,2011-02-15,121,42.7904742,-73.8588818,2011-02-15T01:00:40Z,9.6
23,2011-02-15,121,42.790433,-73.8588698,2011-02-15T01:10:16Z,9.983333333333333
23,2011-02-15,121,42.7905359,-73.8589125,2011-02-15T01:20:15Z,10.083333333333334
23,2011-02-15,121,42.7904463,-73.8589158,2011-02-15T01:30:20Z,10.333333333333334
23,2011-02-15,121,42.7904863,-73.8588743,2011-02-15T01:40:40Z,10.1
23,2011-02-15,121,42.7904501,-73.8588223,2011-02-15T01:50:46Z,10.05
23,2011-02-15,121,42.790478,-73.8588732,2011-02-15T02:00:49Z,9.966666666666667
23,2011-02-15,121,42.7904513,-73.8588065,2011-02-15T02:10:47Z,9.35
23,2011-02-15,121,42.7904774,-73.8588454,2011-02-15T02:20:08Z,10.516666666666667
23,2011-02-15,121,42.7903009,-73.8591514,2011-02-15T02:30:39Z,9.616666666666667
23,2011-02-15,121,42.7905002,-73.8588309,2011-02-15T02:40:16Z,10.05
23,2011-02-15,121,42.7904187,-73.8588883,2011-02-15T02:50:19Z,9.883333333333333
23,2011-02-15,121,42.7905543,-73.8587887,2011-02-15T03:00:12Z,10.016666666666667
23,2011-02-15,121,42.7905105,-73.8589391,2011-02-15T03:10:13Z,10.183333333333334
23,2011-02-15,121,42.7908071,-73.8587331,2011-02-15T03:20:24Z,9.783333333333333
23,2011-02-15,121,42.7904765,-73.8590572,2011-02-15T03:30:11Z,10.083333333333334
23,2011-02-15,121,42.7904556,-73.8588638,2011-02-15T03:40:16Z,10.083333333333334
23,2011-02-15,121,42.7904884,-73.858792,2011-02-15T03:50:21Z,10.183333333333334
23,2011-02-15,121,42.7904613,-73.8584081,2011-02-15T04:00:32Z,9.583333333333334
23,2011-02-15,121,42.7904767,-73.8587894,2011-02-15T04:10:07Z,10.3
23,2011-02-15,121,42.7904849,-73.8589557,2011-02-15T04:20:25Z,9.9
23,2011-02-15,121,42.7905658,-73.8590403,2011-02-15T04:30:19Z,9.833333333333334
23,2011-02-15,121,42.7905026,-73.8589181,2011-02-15T04:40:09Z,10.6
23,2011-02-15,121,42.7918675,-73.8610097,2011-02-15T04:50:45Z,9.916666666666666
23,2011-02-15,121,42.7937828,-73.8599981,2011-02-15T05:00:40Z,10.316666666666666
23,2011-02-15,121,42.7939985,-73.8646317,2011-02-15T05:10:59Z,10.083333333333334
23,2011-02-15,121,42.7925863,-73.865688,2011-02-15T05:21:04Z,9.733333333333333
23,2011-02-15,121,42.7909297,-73.8652361,2011-02-15T05:30:48Z,11
23,2011-02-15,121,42.7909478,-73.8651732,2011-02-15T05:41:48Z,9.366666666666667
23,2011-02-15,121,42.790873,-73.8647721,2011-02-15T05:51:10Z,9.75
23,2011-02-15,121,42.7908335,-73.8647321,2011-02-15T06:00:55Z,10.216666666666667
23,2011-02-15,121,42.7910302,-73.8648163,2011-02-15T06:11:08Z,70.31666666666666
23,2011-02-15,121,42.7910698,-73.8648435,2011-02-15T07:21:27Z,8.916666666666666
23,2011-02-15,121,42.7900415,-73.8677305,2011-02-15T07:30:22Z,9.833333333333334
23,2011-02-15,121,42.7883424,-73.8652546,2011-02-15T07:40:12Z,10.2
23,2011-02-15,121,42.7872263,-73.8605636,2011-02-15T07:50:24Z,10.05
23,2011-02-15,121,42.7854135,-73.8565849,2011-02-15T08:00:27Z,10.516666666666667
23,2011-02-15,121,42.7881097,-73.8556829,2011-02-15T08:10:58Z,9.4
23,2011-02-15,121,42.7898312,-73.8518223,2011-02-15T08:20:22Z,10.016666666666667
23,2011-02-15,121,42.7882575,-73.8472506,2011-02-15T08:30:23Z,10.316666666666666
23,2011-02-15,121,42.7867283,-73.840544,2011-02-15T08:40:42Z,890.75
23,2011-02-15,121,42.7914642,-73.8394736,2011-02-15T23:31:27Z,8.8
23,2011-02-15,121,42.7938633,-73.8414274,2011-02-15T23:40:15Z,11.066666666666666
23,2011-02-15,121,42.7976662,-73.8454174,2011-02-15T23:51:19Z,10.45
23,2011-02-16,122,42.7974869,-73.8453035,2011-02-16T00:01:46Z,9.2
23,2011-02-16,122,42.7984496,-73.8476196,2011-02-16T00:10:58Z,9.883333333333333
23,2011-02-16,122,42.7983358,-73.8532936,2011-02-16T00:20:51Z,10.016666666666667
23,2011-02-16,122,42.7988017,-73.8593675,2011-02-16T00:30:52Z,9.983333333333333
23,2011-02-16,122,42.8009784,-73.8649462,2011-02-16T00:40:51Z,9.466666666666667
23,2011-02-16,122,42.8030103,-73.8656285,2011-02-16T00:50:19Z,9.95
23,2011-02-16,122,42.8025876,-73.8666886,2011-02-16T01:00:16Z,9.85
23,2011-02-16,122,42.8032269,-73.867465,2011-02-16T01:10:07Z,10.333333333333334
23,2011-02-16,122,42.8009908,-73.865374,2011-02-16T01:20:27Z,9.966666666666667
23,2011-02-16,122,42.8014919,-73.8668893,2011-02-16T01:30:25Z,10.45
23,2011-02-16,122,42.803388,-73.8654875,2011-02-16T01:40:52Z,10
23,2011-02-16,122,42.8032818,-73.86545,2011-02-16T01:50:52Z,9.583333333333334
23,2011-02-16,122,42.8031437,-73.8653156,2011-02-16T02:00:27Z,10.15
23,2011-02-16,122,42.8031402,-73.8654001,2011-02-16T02:10:36Z,9.7
23,2011-02-16,122,42.8032449,-73.865433,2011-02-16T02:20:18Z,10.566666666666666
23,2011-02-16,122,42.8032526,-73.8654437,2011-02-16T02:30:52Z,9.5
23,2011-02-16,122,42.8032701,-73.8654371,2011-02-16T02:40:22Z,10.25
23,2011-02-16,122,42.8034222,-73.8655197,2011-02-16T02:50:37Z,9.8
23,2011-02-16,122,42.8032783,-73.8653608,2011-02-16T03:00:25Z,10
23,2011-02-16,122,42.803255,-73.8653746,2011-02-16T03:10:25Z,10.116666666666667
23,2011-02-16,122,42.8031294,-73.8654434,2011-02-16T03:20:32Z,9.966666666666667
23,2011-02-16,122,42.801142,-73.8660902,2011-02-16T03:30:30Z,9.833333333333334
23,2011-02-16,122,42.7993073,-73.8674267,2011-02-16T03:40:20Z,10.516666666666667
23,2011-02-16,122,42.8000899,-73.8668412,2011-02-16T03:50:51Z,9.416666666666666
23,2011-02-16,122,42.7999679,-73.8666696,2011-02-16T04:00:16Z,10.166666666666666
23,2011-02-16,122,42.8000507,-73.8666872,2011-02-16T04:10:26Z,10
23,2011-02-16,122,42.800152,-73.8666268,2011-02-16T04:20:26Z,9.733333333333333
23,2011-02-16,122,42.8003817,-73.8651534,2011-02-16T04:30:10Z,10.016666666666667
23,2011-02-16,122,42.8008469,-73.8655944,2011-02-16T04:40:11Z,10.183333333333334
23,2011-02-16,122,42.8010713,-73.8653637,2011-02-16T04:50:22Z,10
23,2011-02-16,122,42.8003756,-73.8650317,2011-02-16T05:00:22Z,10.4
23,2011-02-16,122,42.8005016,-73.8653428,2011-02-16T05:10:46Z,9.416666666666666
23,2011-02-16,122,42.8006475,-73.865304,2011-02-16T05:20:11Z,10
23,2011-02-16,122,42.8008556,-73.8652188,2011-02-16T05:30:11Z,10.066666666666666
23,2011-02-16,122,42.8008195,-73.8653931,2011-02-16T05:40:15Z,10.116666666666667
23,2011-02-16,122,42.8008306,-73.8654165,2011-02-16T05:50:22Z,9.933333333333334
23,2011-02-16,122,42.8006446,-73.8652379,2011-02-16T06:00:18Z,10.1
23,2011-02-16,122,42.8009103,-73.8655622,2011-02-16T06:10:24Z,9.866666666666667
23,2011-02-16,122,42.8009419,-73.8652209,2011-02-16T06:20:16Z,10.5
23,2011-02-16,122,42.8005629,-73.8648875,2011-02-16T06:30:46Z,9.533333333333333
23,2011-02-16,122,42.8005997,-73.8660568,2011-02-16T06:40:18Z,10.016666666666667
23,2011-02-16,122,42.8007057,-73.8653781,2011-02-16T06:50:19Z,10.55
23,2011-02-16,122,42.8006672,-73.8652707,2011-02-16T07:00:52Z,9.333333333333334
23,2011-02-16,122,42.8007301,-73.8652959,2011-02-16T07:10:12Z,10.116666666666667
23,2011-02-16,122,42.8007237,-73.8652801,2011-02-16T07:20:19Z,10.066666666666666
